TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,TRADE,VALUE (mn),VOLUME
SHARPIND,23,23.5,22.9,23,23,311,6.205,268134
SHASHADNIM,19.3,19.6,19.2,19.3,19.3,181,6.166,318867
SHEPHERD,17.7,17.9,17.5,17.7,17.6,132,6.019,339707
SHURWID,8.6,8.6,7.9,8.6,7.9,216,3.658,428859
SHYAMPSUG,102.9,103.9,101.5,102.9,101.6,14,0.055,536
SIBL,9.7,9.8,9.5,9.7,9.8,289,7.196,750241
SICL,20.9,21.1,20.5,20.9,20.9,147,1.01,48365
SILCOPHL,16.7,17,16.6,16.7,16.8,214,6.828,407326
SILVAPHL,11.8,12,11.6,11.8,11.9,352,4.757,404936
SIMTEX,20.9,21,20.5,20.9,20.7,597,31.651,1523035
SINGERBD,110.1,111.4,104.1,110.1,107.7,329,3.019,27605
SINOBANGLA,48.8,49.1,48.2,48.8,48.4,798,21.471,440640
SIPLC,0,0,0,42.1,42.1,0,0,0
SKTRIMS,14.3,14.7,14.2,14.3,14.7,229,3.197,221270
SONALIANSH,199.7,202,194.4,199.7,194.4,2029,35.201,177080
SONALILIFE,45.8,46,44.5,45.8,45.3,110,0.818,17906
SONALIPAPR,160.9,162.7,157.4,160.9,157.4,1272,26.452,165071
SONARBAINS,23.3,23.7,23,23.3,23.5,108,1.356,57895
SONARGAON,49.1,49.4,47.3,49.1,47.1,858,23.252,479098
SOUTHEASTB,8.7,8.8,8.7,8.7,8.8,88,3.129,357522
SPCERAMICS,17.7,18.6,17.5,17.7,18.1,2630,89.596,4994142
SPCL,34.5,34.8,34,34.5,34.5,353,9.925,287618
SQUARETEXT,52.2,52.4,51.6,52.2,52.4,124,1.239,23832
SQURPHARMA,216.5,216.8,216.1,216.5,216.2,477,27.264,125987
SSSTEEL,8.9,9.1,8.7,8.9,8.7,459,9.707,1088057
STANCERAM,68.1,68.9,67.8,68.4,66,62,0.388,5679
STANDARINS,30.9,31.3,30.7,31,31.2,114,1.49,48111
STANDBANKL,6,6.1,6,6,6.1,113,4.49,746225
STYLECRAFT,61.8,61.8,56.2,61.8,56.2,593,22.849,375523
SUMITPOWER,16.4,16.5,16.3,16.4,16.4,246,5.278,322084
SUNLIFEINS,68.2,70.4,67.6,68.2,70.1,1183,29.485,430366
TAKAFULINS,34.3,34.5,34,34,34,10,0.068,2003
TALLUSPIN,6.5,6.6,6.3,6.4,6.3,110,1.645,254260
TAMIJTEX,110,111.5,105.1,110,106.9,171,2.1,19146
TECHNODRUG,34.3,34.5,34,34.1,34.1,504,13.296,389225
TILIL,41.2,41.6,40.2,41.2,40.7,222,3.895,94422
TITASGAS,19.8,19.9,19.6,19.7,19.6,118,1.236,62669
TOSRIFA,25.1,26.3,24.8,25.1,25.7,478,13.799,540036
TRUSTB1MF,3.5,3.5,3.4,3.4,3.4,13,0.215,62694
TRUSTBANK,22.6,22.6,22.3,22.4,22.5,51,1.677,74900
TUNGHAI,3.3,3.3,3.1,3.3,3.1,110,0.91,281135
UCB,10.7,10.8,9.8,10.7,9.9,879,46.275,4358167
UNILEVERCL,2507.3,2530,2503,2507.3,2534.6,74,0.925,368
UNIONBANK,4.1,4.2,4,4,4,197,9.735,2412064
UNIONCAP,6.2,6.4,6.2,6.2,6.3,123,2.22,355735
UNIONINS,26.7,27.2,26.6,26.7,26.9,199,1.483,55346
UNIQUEHRL,43.7,44.2,42.9,43.7,43.1,782,18.99,434585
UNITEDFIN,12.7,13,12.6,12.7,12.6,173,4.243,332453
